DateKey,Year,Month,MonthName,Quarter,Half,YearMonth,IsHolidaySeason,IsSummer
202401,2024,1,January,Q1,H1,2024-01,0,0
202402,2024,2,February,Q1,H1,2024-02,0,0
202403,2024,3,March,Q1,H1,2024-03,0,0
202404,2024,4,April,Q2,H1,2024-04,0,0
202405,2024,5,May,Q2,H1,2024-05,0,0
202406,2024,6,June,Q2,H1,2024-06,0,1
202407,2024,7,July,Q3,H2,2024-07,0,1
202408,2024,8,August,Q3,H2,2024-08,0,1
202409,2024,9,September,Q3,H2,2024-09,0,0
202410,2024,10,October,Q4,H2,2024-10,0,0
202411,2024,11,November,Q4,H2,2024-11,1,0
202412,2024,12,December,Q4,H2,2024-12,1,0
