ReviewID,GameID,PlayerID,Year,Month,Score,Sentiment,Helpful_Votes,Platform,Verified_Purchase
82,163,6296,2020,7,9,Positive,400,Nintendo Switch,1
83,169,7160,2016,7,1,Negative,459,Nintendo Switch,1
84,93,768,2016,4,10,Positive,39,Mobile,1
85,28,6734,2017,11,7,Neutral,164,Mobile,1
86,130,4008,2023,12,10,Positive,419,Nintendo Switch,0
87,171,4080,2016,7,4,Negative,298,PS4,0
88,52,998,2021,6,6,Neutral,1,PS5,1
89,6,4626,2017,5,9,Positive,458,PC,1
90,5,6937,2023,8,1,Negative,309,PC,1
91,28,3421,2021,8,7,Positive,107,PS5,1
92,133,4375,2018,5,9,Positive,475,PS4,1
93,41,7304,2016,12,10,Positive,498,Mobile,1
94,89,1718,2023,3,5,Neutral,56,PS4,1
95,47,1581,2021,6,8,Positive,360,Xbox One,0
96,50,9100,2022,2,10,Positive,292,Mobile,0
97,3,5860,2016,11,10,Positive,399,Xbox 360,0
98,71,5726,2015,2,7,Positive,158,Xbox 360,1
99,126,4079,2022,9,5,Neutral,156,Mobile,1
100,186,6659,2020,3,9,Positive,69,Nintendo Switch,1
101,183,1400,2022,7,3,Negative,359,PS5,1
102,143,3744,2019,11,8,Positive,416,Xbox 360,1
103,169,2073,2019,11,3,Negative,291,Nintendo Switch,0
104,113,5136,2021,5,7,Neutral,147,PS5,1
105,44,6296,2017,8,7,Positive,432,PS4,1
106,141,5154,2015,3,10,Positive,204,PC,1
107,173,715,2022,6,7,Positive,202,Xbox One,1
108,146,343,2023,8,8,Positive,308,PC,1
109,129,2056,2019,1,8,Positive,478,Xbox One,1
110,146,7745,2016,6,6,Neutral,445,Nintendo Switch,1
111,38,3318,2023,11,10,Positive,194,Xbox One,1
112,31,5946,2020,8,5,Neutral,71,Xbox Series X,1
113,29,2588,2023,8,10,Positive,433,Nintendo Switch,1
114,160,5943,2019,12,9,Positive,89,Nintendo Switch,1
115,18,8292,2019,6,7,Positive,176,PS3,1
116,198,84,2019,3,4,Neutral,481,PS5,1
117,86,7487,2019,10,10,Positive,202,Xbox One,1
118,77,4927,2021,11,5,Neutral,391,PC,1
119,109,7200,2023,1,10,Positive,224,PS4,1
120,4,3098,2024,1,4,Negative,369,PS4,1
121,112,6851,2018,3,4,Neutral,396,Mobile,1
122,140,693,2017,1,8,Positive,227,Xbox Series X,1
123,55,1364,2022,5,3,Negative,91,Mobile,1
124,125,1505,2020,9,4,Neutral,315,PS4,1
125,95,7747,2022,2,7,Positive,15,PC,1
126,45,5931,2016,4,7,Positive,2,Xbox Series X,1
127,199,7689,2022,4,7,Positive,447,PS4,0
128,200,1882,2017,12,7,Positive,359,Xbox One,1
129,52,8236,2024,7,3,Negative,215,PC,1
130,163,4603,2018,11,10,Positive,348,Nintendo Switch,1
131,18,4308,2017,7,2,Negative,110,Xbox One,1
132,113,2003,2021,7,10,Positive,152,Mobile,1
133,115,8802,2020,11,9,Positive,394,Xbox 360,0
134,54,618,2018,1,1,Negative,482,Xbox 360,1
135,133,6023,2023,7,8,Positive,262,Mobile,1
136,39,3555,2024,3,9,Positive,232,PC,1
137,74,3107,2020,11,4,Neutral,79,PS4,1
138,19,8449,2017,12,6,Neutral,181,Wii,1
139,29,4573,2018,6,7,Neutral,87,Xbox One,1
140,182,8209,2019,4,5,Neutral,420,Mobile,1
141,50,6362,2024,2,10,Positive,306,Nintendo Switch,1
142,107,443,2022,7,10,Positive,375,Xbox One,1
143,36,3791,2018,4,4,Neutral,67,PS4,1
144,153,7047,2015,3,8,Positive,381,Xbox One,1
145,52,9805,2018,7,9,Positive,349,Wii,1
146,95,2159,2020,6,7,Positive,235,Xbox 360,1
147,119,5020,2023,7,8,Positive,70,PS3,1
148,178,2893,2019,2,7,Neutral,117,PS5,1
149,19,5679,2021,12,7,Positive,160,Xbox Series X,1
150,69,464,2017,6,7,Positive,144,Wii,1
151,87,7643,2023,4,8,Positive,201,Wii,1
152,81,6558,2022,1,8,Positive,82,PC,1
153,102,7005,2024,6,4,Neutral,291,Nintendo Switch,0
154,179,3322,2020,8,1,Negative,111,PC,1
155,46,1634,2015,12,8,Positive,133,PS3,0
156,197,4983,2024,11,8,Positive,387,Wii,1
157,51,4201,2019,3,9,Positive,255,Wii,1
158,57,6080,2020,7,7,Positive,201,Mobile,1
159,130,923,2022,2,9,Positive,475,Xbox Series X,1
160,91,5283,2023,11,5,Neutral,132,Nintendo Switch,1
161,109,1273,2019,8,8,Positive,348,Xbox 360,1
162,193,6910,2018,6,8,Positive,327,Mobile,1
163,53,3071,2023,7,9,Positive,176,Wii,1
164,78,8639,2023,10,7,Neutral,145,Nintendo Switch,1
165,35,3457,2016,7,7,Positive,330,PS3,1
166,40,1411,2019,5,7,Positive,207,Xbox One,0
167,35,9170,2023,6,7,Neutral,460,PS4,1
168,106,6200,2022,3,6,Neutral,474,Wii,0
169,139,2521,2015,9,7,Positive,157,PC,1
170,97,5421,2016,8,10,Positive,103,Mobile,1
171,10,6472,2016,9,6,Neutral,282,Xbox Series X,1
172,144,2444,2015,7,10,Positive,124,Xbox Series X,1
173,34,1253,2015,5,8,Positive,276,PS4,1
174,50,4090,2018,10,10,Positive,209,Wii,1
175,46,7444,2021,9,9,Positive,223,PC,1
176,191,6798,2022,5,7,Neutral,480,PS5,1
177,191,7894,2020,8,8,Positive,266,PS4,1
178,36,8397,2018,12,7,Positive,205,Xbox 360,1
179,10,8240,2018,5,7,Positive,230,Wii,1
180,21,2404,2023,12,7,Neutral,333,PS3,1
181,172,319,2024,6,4,Neutral,453,Nintendo Switch,1
182,142,7436,2019,5,5,Neutral,157,PS5,1
183,108,3648,2021,10,6,Neutral,377,PC,1
184,98,6941,2015,5,1,Negative,390,Mobile,1
185,163,7402,2018,5,10,Positive,437,Xbox 360,1
186,23,7822,2016,12,8,Positive,196,Wii,1
187,101,5612,2022,1,10,Positive,397,Wii,1
188,168,9105,2020,4,7,Positive,45,Xbox One,1
189,28,7886,2015,4,1,Negative,436,Xbox One,1
190,70,3098,2021,5,10,Positive,449,PC,1
191,158,7849,2024,3,10,Positive,239,Xbox 360,1
192,184,8131,2019,1,9,Positive,31,PC,1
193,131,8994,2016,11,9,Positive,62,Xbox One,1
194,156,7574,2022,12,6,Neutral,413,Xbox 360,1
195,141,2586,2024,7,9,Positive,499,Xbox 360,1
196,40,7337,2024,11,10,Positive,366,Wii,1
197,39,4647,2022,1,3,Negative,447,Wii,1
198,110,1327,2015,9,1,Negative,241,PS4,1
199,108,330,2018,9,6,Neutral,322,PC,1
200,187,2721,2016,2,7,Positive,305,Xbox One,1
201,87,7335,2016,7,9,Positive,66,Xbox 360,1
202,147,2567,2024,1,2,Negative,0,PS3,1
203,130,9137,2019,12,10,Positive,10,PS4,1
204,120,5418,2016,9,10,Positive,352,Xbox Series X,1
205,86,1352,2020,2,7,Neutral,241,Mobile,1
206,105,5748,2019,1,3,Negative,259,Xbox 360,1
207,76,713,2023,10,10,Positive,198,PS3,1
208,42,6636,2023,8,8,Positive,376,Xbox One,0
209,159,4079,2016,10,1,Negative,150,PC,1
210,31,5877,2018,5,9,Positive,345,Xbox One,0
211,44,9673,2018,12,10,Positive,29,Xbox 360,1
212,162,3995,2015,3,5,Neutral,492,PC,1
213,153,8687,2015,3,1,Negative,471,Wii,1
214,80,2492,2017,8,3,Negative,124,Nintendo Switch,1
215,60,1981,2018,3,9,Positive,471,Mobile,1
216,21,9809,2015,1,7,Positive,77,PS5,1
217,91,4235,2015,1,4,Neutral,356,PS4,1
218,150,8098,2016,4,10,Positive,388,PS4,1
219,106,1143,2018,8,8,Positive,271,PS4,0
220,149,4928,2018,2,8,Positive,12,PS4,1
221,67,2651,2020,2,8,Positive,240,PS5,1
222,67,2762,2017,1,7,Positive,478,Xbox One,1
223,117,3947,2019,10,6,Neutral,489,Nintendo Switch,1
224,152,4978,2022,10,8,Positive,412,Nintendo Switch,0
225,3,9421,2016,7,4,Negative,241,Mobile,1
226,181,3394,2023,1,7,Neutral,336,Nintendo Switch,1
227,49,6345,2017,6,8,Positive,345,PS3,1
228,100,1286,2020,2,4,Neutral,290,PC,1
229,128,4625,2016,4,9,Positive,322,Wii,1
230,33,8298,2021,4,6,Neutral,495,Xbox Series X,1
231,146,6791,2024,3,9,Positive,49,Wii,1
232,13,7063,2017,9,6,Neutral,258,Nintendo Switch,1
233,97,2748,2017,3,9,Positive,128,PS5,1
234,157,4595,2019,8,4,Neutral,486,PS5,1
235,156,4332,2019,10,10,Positive,307,Mobile,1
236,171,6623,2018,11,9,Positive,19,PS4,1
237,70,7345,2018,11,4,Neutral,388,Xbox Series X,1
238,177,7152,2019,5,5,Neutral,359,PS4,1
239,53,4634,2024,3,6,Neutral,168,Xbox 360,1
240,115,9147,2018,12,1,Negative,396,Xbox 360,1
241,135,228,2020,2,4,Neutral,494,Xbox 360,1
242,185,5735,2015,9,4,Neutral,28,Wii,1
243,148,5668,2022,5,9,Positive,109,PS5,1
244,139,6591,2020,8,8,Positive,221,Xbox Series X,1
245,29,2226,2024,1,2,Negative,136,Mobile,1
246,159,1860,2023,3,9,Positive,498,PC,1
247,96,2868,2016,1,7,Positive,163,Wii,1
248,83,2093,2022,1,1,Negative,172,Wii,0
249,66,8094,2019,3,7,Positive,202,Xbox One,0
250,174,731,2021,5,7,Neutral,113,Xbox 360,1
251,69,7838,2024,11,8,Positive,352,PS4,1
252,27,9309,2020,11,4,Neutral,7,Wii,1
253,106,903,2018,12,7,Neutral,269,PS5,1
254,75,9304,2020,9,8,Positive,456,Xbox 360,1
255,105,7299,2017,9,6,Neutral,113,Nintendo Switch,1
256,71,9789,2020,4,4,Negative,420,Nintendo Switch,0
257,68,4798,2017,2,8,Positive,94,Nintendo Switch,1
258,43,7574,2018,7,9,Positive,466,PS3,1
259,184,7593,2017,6,3,Negative,261,Nintendo Switch,0
260,109,8192,2020,7,7,Neutral,29,Xbox One,1
261,155,617,2018,7,7,Neutral,497,PS5,0
262,16,1883,2023,1,7,Positive,229,Xbox One,1
263,142,8863,2016,4,6,Neutral,343,PC,1
264,104,1315,2023,1,9,Positive,384,PS3,0
265,86,6030,2022,10,10,Positive,268,Mobile,1
266,69,2758,2024,4,8,Positive,496,Nintendo Switch,1
267,97,1334,2022,12,4,Neutral,190,Wii,1
268,62,7697,2018,4,10,Positive,9,PS4,1
269,91,2996,2018,10,10,Positive,483,PS5,1
270,29,4757,2016,11,9,Positive,363,PS4,1
271,49,6647,2022,1,2,Negative,70,PS3,1
272,142,1673,2023,7,7,Positive,328,Xbox 360,0
273,190,7767,2016,1,4,Neutral,429,PS3,1
274,39,5614,2022,9,10,Positive,16,Nintendo Switch,0
275,24,1412,2016,5,5,Neutral,132,Nintendo Switch,1
276,149,5300,2019,9,2,Negative,289,Xbox 360,1
277,178,5327,2017,7,8,Positive,59,Xbox 360,1
278,79,1284,2024,9,8,Positive,420,PS3,1
279,156,5287,2021,12,6,Neutral,375,PS5,1
280,90,9518,2023,6,7,Neutral,482,Xbox One,1
281,89,5614,2022,12,6,Neutral,490,PC,1
282,133,6194,2022,9,10,Positive,186,Xbox 360,1
283,103,4895,2020,5,2,Negative,203,PC,1
284,170,1569,2018,1,4,Negative,135,Xbox One,1
285,43,9038,2022,4,7,Positive,248,PS3,1
286,186,4016,2024,7,2,Negative,286,PC,0
287,146,6838,2018,10,9,Positive,467,Xbox One,0
288,29,1430,2019,1,7,Positive,426,Mobile,1
289,63,9003,2018,8,1,Negative,189,Xbox Series X,1
290,143,5099,2021,4,7,Positive,276,PS4,1
291,9,8256,2024,2,3,Negative,490,PS5,1
292,9,4023,2018,10,10,Positive,490,Nintendo Switch,1
293,125,2262,2023,10,7,Neutral,19,Xbox 360,1
294,80,7612,2023,9,7,Neutral,414,PS5,1
295,65,8720,2019,1,10,Positive,259,Mobile,1
296,115,5333,2015,9,10,Positive,172,PC,0
297,117,1037,2016,2,7,Positive,250,PS5,1
298,20,1733,2020,5,9,Positive,481,Xbox One,1
299,147,9493,2023,5,8,Positive,308,Xbox 360,0
300,94,6115,2022,4,8,Positive,86,Xbox Series X,1
301,144,4292,2023,10,3,Negative,474,PC,1
302,158,9427,2019,8,6,Neutral,318,Nintendo Switch,1
303,85,842,2020,4,9,Positive,403,PC,1
304,39,5709,2017,8,7,Neutral,29,PS4,0
305,113,231,2018,10,1,Negative,355,Xbox One,1
306,199,9209,2023,3,3,Negative,411,Xbox 360,1
307,124,5033,2016,9,5,Neutral,127,Wii,1
308,185,2743,2017,12,2,Negative,473,PS5,1
309,183,6464,2016,10,10,Positive,172,PS3,1
310,152,2204,2016,7,6,Neutral,84,PC,0
311,93,6945,2015,3,3,Negative,445,PS5,1
312,56,9962,2022,4,5,Neutral,207,Xbox One,1
313,51,146,2019,11,9,Positive,315,Nintendo Switch,1
314,25,9720,2018,12,10,Positive,71,Mobile,1
315,178,8324,2016,1,1,Negative,0,PS5,1
316,68,7641,2018,7,4,Negative,212,Wii,1
317,125,6009,2021,3,9,Positive,161,PS3,1
318,31,1249,2023,6,6,Neutral,452,Xbox 360,1
319,62,9489,2019,1,7,Positive,438,Xbox One,1
320,177,3887,2017,9,10,Positive,279,Nintendo Switch,1
321,160,144,2024,3,6,Neutral,137,PS4,1
322,102,5420,2019,2,4,Neutral,206,Xbox One,1
323,103,2385,2024,1,4,Neutral,53,Nintendo Switch,1
324,95,2024,2016,5,9,Positive,223,PC,0
325,8,3264,2019,6,4,Neutral,26,Xbox 360,1
326,199,9580,2020,12,7,Neutral,255,Xbox 360,1
327,55,1594,2019,12,7,Neutral,269,Xbox Series X,1
328,98,3870,2023,4,8,Positive,480,PS4,1
329,113,1489,2023,9,3,Negative,42,Xbox Series X,1
330,113,8570,2019,5,9,Positive,280,Nintendo Switch,1
331,106,2429,2023,1,1,Negative,189,Mobile,1
332,91,5098,2015,9,4,Negative,259,Wii,1
333,112,22,2022,2,8,Positive,480,Wii,1
334,96,4328,2018,12,9,Positive,44,Wii,1
335,167,4382,2016,7,10,Positive,52,PS3,1
336,195,7427,2021,8,8,Positive,84,Nintendo Switch,1
337,166,8373,2018,11,9,Positive,57,Mobile,1
338,194,84,2019,11,9,Positive,250,PS3,1
339,83,206,2021,1,7,Positive,371,Nintendo Switch,1
340,123,1468,2021,1,7,Neutral,88,PC,1
341,180,1688,2018,9,9,Positive,184,PC,1
342,123,2465,2019,7,9,Positive,41,Nintendo Switch,1
343,61,8611,2022,5,4,Neutral,288,Xbox Series X,1
344,16,367,2022,7,5,Neutral,316,PC,1
345,143,669,2017,6,10,Positive,152,Xbox One,1
346,160,5649,2024,8,9,Positive,0,PS5,1
347,48,5572,2019,6,8,Positive,376,PS5,1
348,197,64,2015,5,5,Neutral,445,Xbox 360,1
349,168,1716,2015,3,5,Neutral,220,Xbox 360,0
350,183,7609,2021,2,9,Positive,489,PS3,1
351,197,6784,2019,12,10,Positive,373,PC,1
352,82,4979,2019,3,7,Positive,59,Nintendo Switch,0
353,119,1794,2015,7,9,Positive,459,Xbox One,1
354,187,8950,2017,9,9,Positive,377,PC,1
355,124,4242,2020,12,7,Positive,486,Xbox Series X,1
356,53,3479,2016,11,10,Positive,28,PS4,1
357,19,9933,2018,4,7,Neutral,411,Xbox 360,1
358,181,3928,2019,7,10,Positive,91,PS5,1
359,131,420,2019,2,9,Positive,425,PC,1
360,45,4068,2018,10,9,Positive,168,PC,1
361,88,3362,2021,8,7,Positive,307,PC,1
362,157,5547,2020,4,10,Positive,264,Xbox 360,1
363,87,6613,2020,12,7,Positive,395,PS5,1
364,132,2254,2016,7,4,Neutral,94,Wii,1
365,112,8358,2016,10,7,Positive,261,PC,0
366,111,5353,2018,1,10,Positive,286,Wii,1
367,108,5264,2023,1,8,Positive,78,PC,1
368,75,811,2020,9,7,Positive,148,Xbox One,1
369,175,5090,2019,2,9,Positive,46,Wii,1
370,109,3411,2016,5,8,Positive,210,PS5,1
371,67,855,2021,4,7,Positive,126,Xbox 360,1
372,33,8342,2017,1,10,Positive,480,PC,1
373,149,7161,2024,10,9,Positive,341,PC,1
374,125,4341,2020,6,2,Negative,21,PS3,1
375,41,8939,2021,12,10,Positive,479,Xbox One,1
376,148,6788,2022,6,5,Neutral,300,Xbox One,1
377,197,1099,2022,2,8,Positive,400,PS5,1
378,115,4358,2017,7,9,Positive,294,Xbox Series X,0
379,192,9127,2024,4,8,Positive,31,PS5,1
380,189,7042,2024,10,8,Positive,440,Xbox Series X,1
381,109,9187,2024,2,8,Positive,290,Xbox Series X,0
382,25,6994,2016,2,1,Negative,453,PC,0
383,42,4846,2020,4,7,Positive,498,PS4,1
384,181,4724,2023,4,1,Negative,440,Xbox 360,1
385,170,6509,2024,9,1,Negative,446,Xbox Series X,1
386,13,8849,2024,8,9,Positive,150,PS5,1
387,55,8703,2023,6,8,Positive,385,PS5,0
388,69,8763,2023,5,5,Neutral,111,Xbox 360,1
389,164,9675,2016,9,5,Neutral,177,PS5,0
390,91,1504,2016,10,3,Negative,174,Xbox Series X,0
391,137,5192,2015,8,1,Negative,143,Xbox Series X,1
392,32,9912,2015,10,9,Positive,429,PS4,1
393,193,4951,2018,11,8,Positive,158,Wii,1
394,106,1221,2024,2,7,Positive,47,Xbox One,0
395,40,6193,2017,2,9,Positive,379,PC,1
396,138,4530,2018,11,9,Positive,86,PS5,1
397,120,6046,2023,2,8,Positive,81,Mobile,1
398,200,1439,2016,11,7,Neutral,64,PC,0
399,153,185,2017,4,9,Positive,140,Xbox One,1
400,102,8587,2022,10,10,Positive,446,Mobile,1
401,126,2417,2023,6,9,Positive,87,Xbox One,0
402,67,4491,2022,9,7,Positive,291,Xbox Series X,1
403,3,8006,2022,7,6,Neutral,68,PS3,0
404,74,2107,2016,7,8,Positive,220,Nintendo Switch,0
405,13,2368,2020,9,9,Positive,463,Mobile,1
406,73,5590,2020,12,5,Neutral,164,Nintendo Switch,1
407,63,3894,2021,2,6,Neutral,53,PS5,1
408,190,9418,2015,7,10,Positive,485,PC,1
409,101,9207,2019,10,7,Positive,352,Xbox Series X,1
410,145,4973,2021,2,7,Positive,312,Xbox One,1
411,182,7448,2024,10,9,Positive,208,PS3,1
412,112,3030,2023,6,8,Positive,302,Xbox One,1
413,53,9892,2020,10,6,Neutral,279,PC,0
414,180,5596,2016,6,9,Positive,160,Xbox Series X,1
415,118,7367,2020,8,6,Neutral,344,Mobile,0
416,127,2150,2021,9,9,Positive,226,Wii,1
417,199,666,2024,12,7,Positive,56,PS3,0
418,58,2220,2021,7,10,Positive,494,Wii,1
419,31,6433,2017,11,9,Positive,247,PS3,1
420,54,6950,2018,11,10,Positive,126,PS5,1
421,91,3567,2015,7,4,Negative,320,PC,1
422,37,2459,2024,6,7,Positive,45,PS4,0
423,125,2944,2021,10,9,Positive,458,Xbox One,1
424,182,7265,2019,7,7,Positive,341,PC,1
425,190,9344,2018,11,6,Neutral,252,PS4,1
426,166,3192,2024,11,7,Positive,18,Nintendo Switch,1
427,195,3011,2024,5,4,Neutral,193,PS5,1
428,188,2003,2017,4,7,Neutral,22,Xbox One,0
429,18,429,2018,1,9,Positive,89,Xbox Series X,1
430,150,7775,2020,12,7,Neutral,224,PS5,1
431,178,9074,2020,1,7,Positive,364,PC,1
432,47,4155,2015,10,7,Positive,85,PS4,1
433,26,879,2015,6,10,Positive,494,Wii,1
434,98,7596,2022,11,8,Positive,102,Mobile,0
435,59,7346,2017,3,10,Positive,105,PS5,1
436,166,7309,2021,6,4,Negative,470,Xbox 360,0
437,1,934,2018,7,8,Positive,421,PS3,1
438,18,9318,2020,1,8,Positive,302,Nintendo Switch,1
439,145,5490,2020,6,10,Positive,70,Xbox Series X,1
440,152,9963,2024,9,8,Positive,464,Xbox 360,1
441,18,4954,2024,1,10,Positive,361,Mobile,1
442,66,5153,2015,2,8,Positive,253,Nintendo Switch,1
443,200,3651,2020,2,7,Neutral,318,Xbox 360,1
444,5,8631,2016,1,4,Negative,377,Nintendo Switch,1
445,30,8697,2023,1,6,Neutral,215,PS4,0
446,189,4073,2015,8,9,Positive,209,Xbox 360,0
447,23,7283,2022,3,7,Positive,445,Xbox Series X,1
448,172,1349,2015,11,9,Positive,371,PC,1
449,78,8510,2018,11,5,Neutral,82,Xbox 360,1
450,174,4704,2022,7,8,Positive,87,Xbox 360,1
451,176,6674,2018,6,4,Negative,70,PS5,1
452,21,3743,2017,5,10,Positive,352,PS5,1
453,6,465,2020,2,7,Positive,7,Mobile,1
454,144,1477,2017,12,9,Positive,394,Wii,1
455,118,1178,2019,7,1,Negative,232,Wii,1
456,61,9522,2022,1,9,Positive,55,PS5,1
457,90,8614,2016,2,8,Positive,302,Xbox One,1
458,65,4842,2015,7,10,Positive,373,Mobile,1
459,190,7780,2017,4,4,Neutral,417,Nintendo Switch,1
460,73,7912,2016,10,5,Neutral,172,Xbox Series X,1
461,107,6847,2015,2,8,Positive,42,PS5,1
462,128,5873,2023,4,3,Negative,279,Wii,1
463,4,4863,2023,3,7,Positive,111,Wii,1
464,113,5707,2016,11,10,Positive,119,PS4,0
465,17,9835,2018,2,9,Positive,455,Xbox Series X,1
466,118,9523,2023,3,8,Positive,115,Mobile,1
467,193,6304,2015,3,2,Negative,178,PS4,1
468,139,8494,2024,9,6,Neutral,476,PC,1
469,33,3592,2020,9,7,Neutral,290,PS3,1
470,74,6279,2022,2,10,Positive,251,PC,1
471,182,166,2024,4,8,Positive,199,PS5,0
472,175,7575,2020,4,10,Positive,384,Xbox Series X,1
473,159,9468,2015,2,10,Positive,481,Xbox 360,1
474,12,5060,2019,6,9,Positive,414,Xbox 360,1
475,156,5972,2023,1,5,Neutral,429,PS4,0
476,7,4549,2020,5,7,Positive,480,PS5,0
477,165,7060,2019,8,8,Positive,229,PS3,1
478,181,3038,2018,7,7,Neutral,266,PS3,1
479,93,4273,2024,2,10,Positive,271,Nintendo Switch,1
480,98,8578,2015,11,5,Neutral,274,Xbox One,0
481,57,246,2016,8,7,Positive,390,PC,1
482,179,4621,2021,11,9,Positive,38,PC,1
483,54,8980,2017,11,2,Negative,146,PS3,0
484,196,2803,2024,8,4,Neutral,158,Xbox Series X,1
485,106,7626,2022,11,4,Negative,149,Xbox 360,1
486,18,9074,2021,3,10,Positive,118,Xbox 360,1
487,48,5670,2017,8,2,Negative,440,PC,1
488,122,1868,2021,12,7,Positive,352,Xbox One,1
489,123,6027,2019,6,10,Positive,98,PS3,1
490,193,9089,2020,10,8,Positive,257,Xbox Series X,1
491,101,4885,2016,2,2,Negative,74,PS4,1
492,47,353,2015,2,9,Positive,324,Nintendo Switch,1
493,56,2541,2016,1,8,Positive,212,Nintendo Switch,1
494,150,1449,2024,3,10,Positive,44,Xbox 360,1
495,63,1525,2016,8,8,Positive,59,PS4,1
496,137,7004,2017,11,8,Positive,208,Xbox One,1
497,45,5363,2018,1,10,Positive,127,Mobile,1
498,17,6560,2022,6,9,Positive,183,Mobile,1
499,41,9702,2017,7,7,Positive,311,Wii,1
500,66,1561,2018,10,10,Positive,436,PS3,0
501,64,2965,2016,12,1,Negative,489,PC,1
502,93,9450,2022,7,9,Positive,296,PC,1
503,96,7156,2023,7,10,Positive,299,PC,1
504,66,2551,2019,6,7,Neutral,329,Xbox One,0
505,17,651,2022,10,8,Positive,69,Mobile,1
